PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Sale Date,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Location Factor,O'Hare Noise,Floodplain,Road Proximity,Condo Strata,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood,"Town and Neighborhood, SF Group Only"
16081010100000,205,30,5771,27,2,0,4,1,8,4,1,3,2,5,0,0,3,,0,0,0,2,,2,3,1,2,2,7,0,0,0,1,0,2044,2,2,0,49050,373750,03/22/2019,1908113022,1,-87.78275,41.89336,812500,,0,404 N CUYLER AVE,SF,2,94,1,,,,,,,0.8511754,0,0,0,,2019,89,45,1,3,1,1,8836,9.4,88.36,33304441,4177936,0,1,30,75.9671,9.69536,45.21062,2730,
16081000211005,299,30,15498,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,7790,88410,05/23/2019,1914349088,131000,-87.78357,41.89427,812500,,0,301 W CHICAGO AVE,NCHARS,,48,1,18,0.06,299,,,,0.8435623,0,0,0,5,2019,90,45,2,5,1,1,2304,4.8,23.04,240188004,,1,,30,124.491,6.928203,,2730,1
16081000211001,299,30,15498,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,8040,91260,08/22/2019,1923455314,140000,-87.78357,41.89427,812500,,0,301 W CHICAGO AVE,NCHARS,,48,1,18,0.06,299,,,,0.8214534,0,0,0,5,2019,91,46,3,8,2,1,2304,4.8,23.04,240188004,,1,,30,124.491,6.928203,,2730,1
16074230431007,299,41,8702,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,13350,344460,08/09/2019,1922106319,470000,-87.78495,41.8808,812700,,0,421 S RIDGELAND AVE,NCHARS,,9,1,7,0.18,299,,,,0.8041477,0,0,1,10,2019,91,46,3,8,2,1,81,0.9,0.81,75724804,,1,,41,93.28451,3,,2741,3
16074230431003,299,41,8702,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,9590,247490,03/11/2019,1907013016,281500,-87.78495,41.8808,812700,,0,421 S RIDGELAND AVE,NCHARS,,9,1,7,0.13,299,,,,0.840834,0,0,1,10,2019,89,45,1,3,1,1,81,0.9,0.81,75724804,,1,,41,93.28451,3,,2741,3
16074230411002,299,41,8709,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,16730,163630,07/05/2019,1918608062,224000,-87.78496,41.88107,812700,,0,415 S RIDGELAND AVE,NCHARS,,93,1,4,0.25,299,,,,0.8129673,0,0,1,8,2019,91,46,3,7,2,1,8649,9.3,86.49,75846681,,1,,41,93.32202,9.643651,,2741,2
16074230391008,299,41,8550,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,8570,149810,08/02/2019,1921425006,140900,-87.78588,41.88137,812700,,0,404 S ELMWOOD AVE,NCHARS,,42,1,9,0.11,299,,,,0.8119834,0,0,1,5,2019,91,46,3,8,2,1,1764,4.2,17.64,73102500,,1,,41,92.46621,6.480741,,2741,1
16074230391004,299,41,8550,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,8570,149810,09/30/2019,1927334146,1,-87.78588,41.88137,812700,,0,404 S ELMWOOD AVE,NCHARS,,42,1,9,0.11,299,,,,0.797649,0,0,1,5,2019,91,46,3,9,2,1,1764,4.2,17.64,73102500,,0,,41,92.46621,6.480741,,2741,
16074230240000,212,41,3505,27,2,2,2,2,12,4,2,3,1,5,0,0,3,,2,2,2,2,,2,3,2,2,2,7,0,0,0,3,0,5460,2,2,1,30660,287900,01/02/2019,1900208116,368000,-87.78496,41.88025,812700,,0,408  MADISON ST,MF,2,105,2,,,,212,,,0.8568815,0,0,0,,2019,89,45,1,1,1,1,11025,10.5,110.25,12285025,29811600,1,1,41,59.20304,10.24695,73.89181,2741,3
16074220321007,299,41,8873,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,7070,94620,03/29/2019,1908815010,109800,-87.78658,41.88063,812700,,0,425 S ELMWOOD AVE,NCHARS,,50,1,10,0.10,299,,,,0.8460111,0,0,0,5,2019,89,45,1,3,1,1,2500,5,25,78730129,,1,,41,94.1966,7.071068,,2741,1
